# data format:
# time voltage
# (msecs) (mvolts)
479 16
551 9
621 3
691 9
761 19
831 29
901 45
971 58
1041 67
1111 83
1181 90
1251 116
1321 112
1391 122
1461 141
1531 154
1601 174
1671 180
1741 206
1811 212
1881 229
1951 245
2021 254
2091 254
2161 261
2231 293
2301 296
2371 303
2441 322
2511 338
2581 358
2651 367
2721 435
2791 396
2861 383
2931 403
3001 419
3071 438
3141 448
3211 496
3281 496
3351 496
3421 519
3491 529
3561 529
3631 519
3701 590
3771 567
3841 567
3911 590
3981 609
4051 632
4121 645
4191 712
4258 651
4328 674
4398 683
4468 751
4538 738
4608 735
4678 754
4748 745
4818 745
4888 745
4958 812
5028 806
5098 800
5168 825
5238 845
5308 874
5378 883
5448 945
5518 900
5588 867
5658 890
5728 912
5798 945
5868 948
5938 1032
6008 1022
6078 1009
6148 1025
6218 1019
6288 1025
6358 1003
6428 1090
6498 1067
6568 1064
6638 1093
6708 1116
6778 1151
6848 1151
6918 1225
6988 1183
7058 1151
7128 1154
7198 1174
7268 1212
7338 1209
7408 1319
7478 1290
7548 1277
7618 1296
7688 1293
7758 1303
7828 1274
7898 1361
7968 1338
8046 1354
8115 1390
8185 1409
8255 1364
8325 1458
8395 1400
8465 1393
8535 1419
8605 1441
8675 1487
8745 1480
8815 1606
8885 1554
8955 1522
9025 1532
9095 1525
9165 1545
9235 1509
9305 1632
9375 1616
9445 1609
9515 1635
9585 1661
9655 1677
9725 1664
9795 1774
9865 1703
9935 1648
10005 1677
10075 1706
10145 1754
10215 1758
10285 1903
10355 1858
10425 1793
10495 1803
10565 1806
10635 1812
10705 1806
10775 1945
10845 1912
10915 1870
10985 1903
11055 1935
11125 1932
11195 1954
11265 1896
11335 2045
11405 1958
11482 1961
11551 2006
11621 2058
11691 2009
11761 2164
11831 2064
11901 2041
11971 2058
12041 2048
12111 2100
12181 2067
12251 2232
12321 2193
12391 2167
12467 2161
12538 2180
12608 2135
12678 2267
12748 2229
12818 2229
12888 2264
12958 2264
13028 2300
13098 2248
13168 2406
13238 2306
13308 2290
13378 2306
13448 2312
13518 2377
13588 2335
13658 2532
13729 2467
13799 2400
13869 2419
13939 2429
14008 2458
14078 2403
14148 2570
14218 2493
14288 2493
14358 2535
14428 2525
14498 2564
14568 2490
14638 2677
14708 2600
14786 2561
14855 2593
14925 2658
14995 2577
15065 2758
15135 2670
15205 2658
15275 2670
15345 2670
15415 2716
15485 2651
15555 2861
15625 2774
15695 2754
15765 2780
15835 2770
15905 2822
15975 2758
16045 2929
16115 2835
16185 2822
16255 2838
16325 2867
16395 2925
16465 2858
16535 3061
16605 2958
16675 2922
16745 2945
16815 2941
16885 3000
16955 2935
17025 3125
17095 3045
17165 3022
17235 3035
17305 3038
17375 3093
17445 3029
17515 3254
17585 3125
17655 3096
17725 3119
17795 3122
17865 3190
17935 3122
18012 3300
18081 3174
18151 3203
18221 3196
18291 3258
18361 3164
18431 3300
18501 3293
18571 3241
18641 3238
18711 3219
18781 3245
18851 3161
18921 3300
18991 3232
19061 3148
19131 3161
19201 3132
19271 3164
19341 3064
19411 3248
19481 3138
19551 3070
19621 3058
19691 3038
19761 3064
19831 2977
19901 3183
19971 3029
20041 2983
20111 2983
20181 2948
20251 2974
20321 2880
20391 3038
20461 2929
20531 2877
20601 2880
20671 2877
20741 2900
20811 2806
20881 2990
20951 2854
21021 2796
21091 2793
21161 2761
21231 2787
21309 2954
21378 2754
21448 2725
21518 2725
21588 2687
21658 2712
21728 2609
21798 2767
21868 2677
21938 2641
22008 2648
22078 2622
22148 2638
22218 2554
22288 2712
22358 2593
22428 2525
22498 2519
22568 2496
22638 2519
22708 2509
22778 2661
22848 2596
22918 2474
22988 2445
23058 2438
23128 2406
23198 2422
23268 2345
23338 2493
23408 2429
23478 2358
23548 2361
23618 2348
23688 2325
23758 2306
23828 2303
23898 2364
23968 2267
24038 2222
24108 2229
24178 2232
24248 2270
24318 2196
24388 2332
24458 2225
24536 2141
24605 2125
24675 2141
24745 2135
24815 2283
24885 2183
24955 2103
25025 2080
25095 2064
25165 2032
25235 2035
25305 1961
25375 2100
25445 2032
25515 1977
25585 1996
25655 1980
25725 1967
25800 1903
25871 1919
25941 1870
26011 1890
26081 1893
26151 1903
26221 1893
26291 1974
26361 1925
26431 1819
26501 1783
26571 1767
26641 1751
26711 1777
26781 1745
26851 1861
26921 1806
26991 1729
27061 1709
27131 1690
27201 1664
27271 1638
27341 1732
27411 1664
27481 1612
27551 1612
27621 1616
27691 1612
27761 1612
27839 1519
27908 1529
27978 1509
28048 1512
28118 1512
28188 1525
28258 1509
28328 1593
28398 1503
28468 1432
28538 1412
28608 1387
28678 1383
28748 1387
28818 1358
28888 1448
28958 1390
29028 1370
29098 1351
29168 1316
29238 1306
29308 1258
29378 1319
29448 1277
29518 1232
29588 1235
29658 1238
29728 1235
29798 1235
29868 1251
29938 1225
30008 1158
30078 1119
30148 1119
30218 1112
30288 1122
30358 1100
30428 1170
30498 1122
30568 1083
30638 1058
30708 1029
30778 996
30848 987
30918 990
30988 1022
31058 983
31136 974
31205 954
31275 932
31345 890
31415 941
31485 903
31555 870
31625 864
31695 861
31765 851
31835 858
31905 832
31975 851
32045 787
32115 748
32185 751
32255 745
32325 741
32395 732
32465 767
32535 745
32605 709
32675 690
32745 658
32815 625
32885 629
32955 606
33025 632
33095 609
33165 590
33235 580
33305 570
33375 570
33445 532
33515 548
33585 509
33655 483
33725 474
33795 467
33865 458
33935 458
34005 435
34075 454
34145 429
34215 387
34285 367
34355 358
34425 351
34495 338
34565 358
34635 332
34712 309
34781 290
34851 264
34921 261
34991 245
35061 251
35131 229
35201 209
35271 203
35341 190
35411 177
35481 170
35551 138
35621 135
35691 119
35761 106
35831 96
35901 87
35971 70
36041 58
36111 41
36181 32
36251 19
36321 6
36391 6
36461 12
36531 22
36601 29
36671 41
36741 54
36811 67
36881 83
36951 100
37021 100
37091 112
37161 122
37231 145
37301 154
37371 167
37441 183
37511 196
37581 216
37651 225
37721 280
37791 241
37861 248
37931 264
38001 280
38071 296
38141 319
38211 322
38281 396
38351 364
38429 354
38498 367
38568 383
38638 396
38708 461
38778 445
38848 451
38918 464
38988 483
39058 483
39128 477
39203 503
39275 522
39345 532
39415 551
39485 567
39555 593
39625 580
39695 635
39765 603
39835 603
39905 622
39975 641
40045 658
40115 690
40185 690
40255 761
40325 741
40395 712
40465 709
40535 729
40605 748
40675 767
40745 822
40815 845
40885 829
40955 841
41025 867
41095 854
41165 861
41235 845
41305 925
41375 922
41445 909
41515 922
41585 948
41655 967
41725 1000
41795 990
41865 1054
41935 1025
42012 993
42081 1029
42151 1048
42221 1087
42291 1083
42361 1170
42431 1122
42501 1083
42571 1090
42641 1112
42711 1138
42781 1164
42851 1161
42921 1264
42991 1245
43061 1229
43131 1235
43201 1232
43271 1229
43341 1229
43411 1300
43481 1335
43551 1306
43621 1309
43691 1345
43761 1367
43831 1377
43901 1364
43971 1445
44041 1419
44111 1374
44181 1387
44251 1422
44321 1438
44391 1487
44461 1477
44531 1583
44601 1545
44671 1493
44741 1500
44811 1500
44881 1516
44951 1538
45021 1677
45091 1641
45161 1619
45231 1638
45298 1693
45368 1677
45438 1658
45508 1651
45578 1677
45648 1709
45718 1725
45788 1722
45858 1841
45928 1796
45998 1732
46068 1722
46138 1748
46208 1774
46278 1829
46348 1825
46418 1983
46488 1906
46558 1858
46628 1861
46698 1870
46768 1870
46838 1874
46908 1961
46978 2012
47048 1958
47118 1974
47188 1996
47258 1987
47328 2016
47398 1970
47468 2106
47538 2051
47608 1993
47678 2035
47748 2074
47818 2100
47888 2129
47958 2219
48028 2222
48098 2154
48168 2138
48238 2145
48308 2145
48378 2180
48448 2174
48526 2361
48595 2219
48665 2232
48735 2248
48805 2251
48875 2248
48945 2412
49015 2387
49085 2341
49155 2348
49225 2354
49295 2354
49365 2390
49435 2361
49505 2545
49575 2448
49645 2380
49715 2403
