# data format:
# time voltage
# (msecs) (mvolts)
476 109
548 58
618 774
688 1164
758 1412
828 1541
898 1622
968 1754
1038 1674
1108 1683
1178 1696
1248 1712
1318 1832
1388 1777
1458 1796
1528 1829
1598 1874
1668 1987
1738 1883
1808 1864
1878 1874
1948 1896
2018 1903
2088 1967
2158 1948
2228 1983
2298 2025
2368 2006
2438 2129
2508 2035
2578 2041
2648 2045
2718 2074
2788 2212
2858 2132
2928 2122
2998 2170
3068 2203
3138 2148
3208 2270
3278 2190
3348 2212
3418 2212
3488 2229
3558 2367
3628 2300
3698 2303
3768 2329
3846 2332
3915 2419
3985 2316
4055 2338
4125 2348
4195 2400
4265 2574
4335 2493
4405 2454
4475 2464
4545 2496
4615 2435
4685 2596
4755 2474
4825 2496
4895 2506
4965 2564
5035 2751
5105 2641
5175 2587
5245 2609
5315 2612
5385 2587
5455 2754
5525 2632
5595 2632
5665 2658
5735 2722
5805 2890
5875 2777
5945 2725
6015 2738
6085 2780
6155 2706
6225 2887
6295 2751
6365 2774
6435 2793
6505 2861
6575 3035
6645 2912
6715 2848
6785 2867
6855 2864
6925 2858
6995 3048
7065 2909
7135 2887
7205 2929
7275 2970
7345 2887
7422 3032
7491 2954
7561 2958
7631 2990
7701 3070
7771 3067
7841 3000
7911 3022
7981 3019
8051 3019
8121 3216
8191 3077
8261 3038
8331 3061
8401 3087
8471 3016
8541 3229
8611 3074
8681 3087
8751 3100
8821 3138
8891 3225
8961 3203
9031 3119
9101 3129
9171 3125
9241 3154
9311 3300
9381 3206
9451 3158
9521 3170
9591 3187
9661 3154
9731 3300
9801 3212
9871 3183
9941 3187
10011 3238
10081 3135
10151 3300
10221 3193
10291 3212
10361 3203
10431 3238
10501 3300
10571 3290
10641 3206
10711 3232
10781 3216
10851 3251
10929 3300
10998 3232
11068 3238
11138 3229
11208 3248
11278 3300
11348 3300
11418 3235
11488 3241
11558 3254
11628 3216
11698 3300
11768 3274
11839 3232
11908 3238
11978 3277
12048 3164
12118 3300
12188 3222
12258 3235
12328 3229
12398 3277
12468 3187
12538 3300
12608 3209
12678 3225
12748 3216
12823 3283
12895 3300
12965 3206
13035 3212
13105 3206
13175 3241
13245 3264
13315 3300
13385 3177
13455 3193
13525 3187
13595 3222
13665 3135
13735 3267
13805 3145
13875 3161
13945 3158
14015 3183
14085 3225
14155 3248
14232 3138
14301 3122
14371 3154
14441 3200
14511 3183
14581 3080
14651 3106
14722 3093
14791 3119
14861 3300
14931 3151
15001 3061
15071 3074
15141 3038
15211 3054
15281 3238
15351 3093
15422 2996
15492 3029
15561 3000
15631 3016
15701 3200
15771 3048
15841 2958
15911 2967
15982 2938
16051 2945
16121 3132
16191 3000
16261 2909
16331 2919
16401 2887
16471 2906
16541 3070
16611 2922
16681 2825
16751 2835
16821 2803
16891 2845
16961 2941
17031 2893
17101 2780
17171 2787
17241 2758
17311 2770
17381 2916
17459 2732
17528 2729
17598 2709
17668 2725
17738 2709
17808 2754
17878 2635
17948 2638
18018 2619
18088 2619
18158 2735
18228 2680
18298 2580
18368 2574
18438 2554
18508 2567
18578 2554
18648 2583
18718 2464
18788 2461
18858 2445
18928 2480
18998 2412
19068 2577
19138 2438
19208 2406
19278 2390
19348 2390
19418 2306
19488 2441
